What are the basic requirements for a Ruby web application?,"A Ruby web application requires:
1. A web server to receive HTTP requests
2. Application code that processes those requests
3. A way to generate HTTP responses
4. A protocol (like HTTP) to communicate with clients",
How do you create a simple TCP server in Ruby?,"```ruby
require 'socket'

server = TCPServer.new('localhost', 3000)

loop do
  client = server.accept
  request_line = client.gets
  puts request_line
  
  client.puts ""HTTP/1.1 200 OK""
  client.puts ""Content-Type: text/plain\r\n\r\n""
  client.puts ""Hello World!""
  client.close
end
```",
How do you parse HTTP requests in Ruby?,"```ruby
def parse_request(request_line)
  http_method, path_and_params, http = request_line.split("" "")
  path, params = path_and_params.split(""?"")

  params = (params || """").split(""&"").each_with_object({}) do |pair, hash|
    key, value = pair.split(""="")
    hash[key] = value
  end

  [http_method, path, params]
end
```",
What is Rack and how does it simplify web application development?,"Rack is a middleware interface between web servers and Ruby web applications. It standardizes the way servers and applications interact by specifying that:
1. An application is an object that responds to `call`
2. It takes a single hash parameter (the environment)
3. It returns an array with three elements: status code, headers hash, and response body

This simplifies development by providing a consistent interface regardless of the server being used.",
How do you create a basic Rack application?,"```ruby
# config.ru
require_relative 'app'
run App.new

# app.rb
class App
  def call(env)
    [200, {""Content-Type"" => ""text/html""}, [""Hello World""]]
  end
end
```",
What is Sinatra and how does it build on Rack?,"Sinatra is a lightweight web framework built on top of Rack. It provides a DSL (Domain Specific Language) for defining routes and handling HTTP requests with minimal setup. Sinatra handles the Rack interface under the hood, letting developers focus on routes and responses rather than setup details.",
How do you create a basic Sinatra application?,"```ruby
require ""sinatra""

get ""/"" do
  ""Hello, World!""
end

get ""/about"" do
  ""This is a simple Sinatra application.""
end
```",
What are routes in Sinatra?,"Routes in Sinatra are HTTP method and URL pattern combinations that determine how your application should respond to specific requests. They are defined using methods named after HTTP methods (get, post, put, delete) followed by a URL pattern and a block that provides the response.",
How do you handle different HTTP methods in Sinatra?,"```ruby
# GET request
get ""/resources"" do
  # code to list resources
end

# POST request
post ""/resources"" do
  # code to create a new resource
end

# PUT request
put ""/resources/:id"" do
  # code to update a specific resource
end

# DELETE request
delete ""/resources/:id"" do
  # code to delete a specific resource
end
```",
How do you access request parameters in Sinatra?,"```ruby
# URL parameters
get ""/users/:name"" do
  ""Hello, #{params[:name]}!""
end

# Query string parameters
get ""/search"" do
  ""You searched for: #{params[:query]}""
end

# Form parameters
post ""/login"" do
  ""Hello, #{params[:username]}!""
end
```",
What are view templates and how do you use them in Sinatra?,"View templates are files containing HTML markup with embedded Ruby code that can be rendered by Sinatra. They separate presentation logic from application logic.

```ruby
# app.rb
get ""/hello"" do
  @name = ""World""
  erb :hello
end

# views/hello.erb
<!DOCTYPE html>
<html>
  <head>
    <title>Hello</title>
  </head>
  <body>
    <h1>Hello, <%= @name %>!</h1>
  </body>
</html>
```",
